State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year
Minnesota,MN,10,BILL CLINTON,51.1,1120438,ROBERT DOLE ,35,766476,1996
Wisconsin,WI,11,BILL CLINTON,48.8,1071971,ROBERT DOLE ,38.5,845029,1996
Michigan,MI,18,BILL CLINTON,51.7,1989653,ROBERT DOLE ,38.5,1481212,1996
Illinois,IL,22,BILL CLINTON,54.3,2341744,ROBERT DOLE ,36.8,1587021,1996
Iowa,IA,7,BILL CLINTON,50.3,620258,ROBERT DOLE ,39.9,492644,1996
Ohio,OH,21,BILL CLINTON,47.4,2148222,ROBERT DOLE ,41,1859883,1996
Missouri,MO,11,BILL CLINTON,47.5,1025935,ROBERT DOLE ,41.2,890016,1996
Maine,ME,4,BILL CLINTON,51.6,312788,ROBERT DOLE ,30.8,186378,1996
Vermont,VT,3,BILL CLINTON,53.4,137894,ROBERT DOLE ,31.1,80352,1996
New Hampshire,NH,4,BILL CLINTON,49.3,246214,ROBERT DOLE ,39.4,196532,1996
New York,NY,33,BILL CLINTON,59.5,3756177,ROBERT DOLE ,30.6,1933492,1996
Rhode Island,RI,4,BILL CLINTON,59.7,233050,ROBERT DOLE ,26.8,104683,1996
Massachusetts,MA,12,BILL CLINTON,61.5,1571763,ROBERT DOLE ,28.1,718107,1996
Pennsylvania,PA,23,BILL CLINTON,49.2,2215819,ROBERT DOLE ,40,1801169,1996
New Jersey,NJ,15,BILL CLINTON,53.7,1652329,ROBERT DOLE ,35.9,1103078,1996
Connecticut,CT,8,BILL CLINTON,52.8,735740,ROBERT DOLE ,34.7,483109,1996
Dist. of Col.,DC,3,BILL CLINTON,85.2,158220,ROBERT DOLE ,9.3,17339,1996
Delaware,DE,3,BILL CLINTON,51.8,140355,ROBERT DOLE ,36.6,99062,1996
Kentucky,KY,8,BILL CLINTON,45.8,636614,ROBERT DOLE ,44.9,623283,1996
West Virginia,WV,5,BILL CLINTON,51.5,327812,ROBERT DOLE ,36.8,233946,1996
Maryland,MD,10,BILL CLINTON,54.3,966207,ROBERT DOLE ,38.3,681530,1996
Arkansas,AR,6,BILL CLINTON,53.7,475171,ROBERT DOLE ,36.8,325416,1996
Tennessee,TN,11,BILL CLINTON,48,909146,ROBERT DOLE ,45.6,863530,1996
Louisiana,LA,9,BILL CLINTON,52,927837,ROBERT DOLE ,39.9,712586,1996
Florida,FL,25,BILL CLINTON,48,2546870,ROBERT DOLE ,42.3,2244536,1996
Washington,WA,11,BILL CLINTON,49.8,1123323,ROBERT DOLE ,37.3,840712,1996
Oregon,OR,7,BILL CLINTON,47.2,649641,ROBERT DOLE ,39.1,538152,1996
Nevada,NV,4,BILL CLINTON,43.9,203974,ROBERT DOLE ,42.9,199244,1996
California,CA,54,BILL CLINTON,51.1,5119835,ROBERT DOLE ,38.2,3828380,1996
New Mexico,NM,5,BILL CLINTON,49.2,273495,ROBERT DOLE ,41.9,232751,1996
Hawaii,HI,4,BILL CLINTON,56.9,205012,ROBERT DOLE ,31.6,113943,1996
Arizona,AZ,8,BILL CLINTON,46.5,653288,ROBERT DOLE ,44.3,622073,1996
North Dakota,ND,3,BILL CLINTON,40.1,106905,ROBERT DOLE ,46.9,125050,1996
South Dakota,SD,3,BILL CLINTON,43,139333,ROBERT DOLE ,46.5,150543,1996
Indiana,IN,12,BILL CLINTON,41.6,887424,ROBERT DOLE ,47.1,1006693,1996
Nebraska,NE,5,BILL CLINTON,35,236761,ROBERT DOLE ,53.7,363467,1996
Kansas,KS,6,BILL CLINTON,36.1,387659,ROBERT DOLE ,54.3,583245,1996
Georgia,GA,13,BILL CLINTON,45.8,1053849,ROBERT DOLE ,47,1080843,1996
Virginia,VA,13,BILL CLINTON,45.1,1091060,ROBERT DOLE ,47.1,1138350,1996
North Carolina,NC,14,BILL CLINTON,44,1107849,ROBERT DOLE ,48.7,1225938,1996
South Carolina,SC,8,BILL CLINTON,44,506283,ROBERT DOLE ,49.8,573458,1996
Oklahoma,OK,8,BILL CLINTON,40.4,488105,ROBERT DOLE ,48.3,582315,1996
Mississippi,MS,7,BILL CLINTON,44.1,394022,ROBERT DOLE ,49.2,439838,1996
Alabama,AL,9,BILL CLINTON,43.2,662165,ROBERT DOLE ,50.1,769044,1996
Texas,TX,32,BILL CLINTON,43.8,2459683,ROBERT DOLE ,48.8,2736167,1996
Montana,MT,3,BILL CLINTON,41.3,167922,ROBERT DOLE ,44.1,179652,1996
Colorado,CO,8,BILL CLINTON,44.4,671152,ROBERT DOLE ,45.8,691848,1996
Alaska,AK,3,BILL CLINTON,33.3,80380,ROBERT DOLE ,50.8,122746,1996
Idaho,ID,4,BILL CLINTON,33.6,165443,ROBERT DOLE ,52.2,256595,1996
Wyoming,WY,3,BILL CLINTON,36.8,77934,ROBERT DOLE ,49.8,105388,1996
Utah,UT,5,BILL CLINTON,33.3,221633,ROBERT DOLE ,54.4,361911,1996
